Dataset,Model,Best_Params,CV_Accuracy_mean,CV_Accuracy_std,CV_F1_mean,CV_F1_std,Holdout_Accuracy,Holdout_F1_macro,Base_CV_Accuracy_mean,Base_CV_Accuracy_std,Base_CV_F1_mean,Base_CV_F1_std,Base_Holdout_Accuracy,Base_Holdout_F1_macro,Delta_CV_Accuracy_mean,Delta_CV_F1_mean,Delta_Holdout_Accuracy,Delta_Holdout_F1_macro,Rel_%_CV_Accuracy_mean,Rel_%_CV_F1_mean,Rel_%_Holdout_Accuracy,Rel_%_Holdout_F1_macro,Fit_time_mean_s,Score_time_mean_s,Base_Train_time_s,Base_Infer_time_s,Beat_Baseline_on_CV_Accuracy,Beat_Baseline_on_CV_F1,Beat_Baseline_on_Holdout_Acc,Beat_Baseline_on_Holdout_F1
dataset1,NeuralNet,"{""mlpclassifier__alpha"": 0.001, ""mlpclassifier__early_stopping"": true, ""mlpclassifier__hidden_layer_sizes"": [100, 100], ""mlpclassifier__learning_rate_init"": 0.01, ""mlpclassifier__max_iter"": 300}",0.7189,0.063,0.7138,0.0646,0.6623,0.6477,0.7318,0.0132,0.728,0.0148,0.7338,0.7285,-0.0129,-0.0142,-0.0714,-0.0808,-1.7643,-1.9491,-9.7345,-11.0925,0.045,0.0017,1.3102,0.0033,False,False,False,False
dataset1,RandomForest,"{""randomforestclassifier__class_weight"": ""balanced"", ""randomforestclassifier__max_depth"": 20, ""randomforestclassifier__max_features"": ""log2"", ""randomforestclassifier__min_samples_split"": 5, ""randomforestclassifier__n_estimators"": 300}",0.9024,0.0197,0.9024,0.0198,0.8961,0.8962,0.8894,0.028,0.8896,0.0275,0.8961,0.8962,0.013,0.0127,0.0,0.0,1.4622,1.4301,0.0,0.0,0.1909,0.0122,0.3134,0.021,True,True,False,False
dataset1,SVM_rbf,"{""svc__C"": 100, ""svc__class_weight"": null, ""svc__gamma"": ""auto""}",0.7487,0.0371,0.7483,0.0375,0.7143,0.7149,0.6862,0.0296,0.671,0.0285,0.7013,0.6814,0.0625,0.0774,0.013,0.0335,9.1073,11.5322,1.8519,4.9114,0.009,0.0035,0.1502,0.0605,True,True,True,True
dataset2,NeuralNet,"{""mlpclassifier__alpha"": 0.0001, ""mlpclassifier__early_stopping"": true, ""mlpclassifier__hidden_layer_sizes"": [200], ""mlpclassifier__learning_rate_init"": 0.001, ""mlpclassifier__max_iter"": 300}",0.9999,0.0,0.9999,0.0,1.0,1.0,0.9999,0.0,0.9999,0.0,1.0,1.0,-0.0,-0.0,0.0,0.0,-0.0004,-0.0004,0.0,0.0,5.5882,0.0288,34.3175,0.1029,False,False,False,False
dataset2,RandomForest,"{""randomforestclassifier__class_weight"": null, ""randomforestclassifier__max_depth"": null, ""randomforestclassifier__max_features"": null, ""randomforestclassifier__min_samples_split"": 5, ""randomforestclassifier__n_estimators"": 100}",1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0021,0.0022,28.4192,0.0623,30.9258,0.3751,True,True,True,True
dataset2,SVM_rbf,"{""svc__C"": 100, ""svc__class_weight"": null, ""svc__gamma"": 0.001}",0.9999,0.0001,0.9999,0.0001,0.9998,0.9998,0.9998,0.0,0.9998,0.0,0.9997,0.9997,0.0001,0.0001,0.0001,0.0001,0.0123,0.0126,0.0085,0.0087,2.5923,0.6392,110.2886,17.6,True,True,True,True
dataset3,NeuralNet,"{""mlpclassifier__alpha"": 0.01, ""mlpclassifier__early_stopping"": true, ""mlpclassifier__hidden_layer_sizes"": [100, 100], ""mlpclassifier__learning_rate_init"": 0.01, ""mlpclassifier__max_iter"": 300}",0.9884,0.0127,0.9884,0.0128,0.9885,0.9885,1.0,0.0,1.0,0.0,1.0,1.0,-0.0116,-0.0116,-0.0115,-0.0115,-1.1601,-1.161,-1.1494,-1.15,0.0323,0.0016,0.9682,0.0028,False,False,False,False
dataset3,RandomForest,"{""randomforestclassifier__class_weight"": ""balanced"", ""randomforestclassifier__max_depth"": null, ""randomforestclassifier__max_features"": null, ""randomforestclassifier__min_samples_split"": 2, ""randomforestclassifier__n_estimators"": 100}",1.0,0.0,1.0,0.0,1.0,1.0,0.9931,0.0057,0.9931,0.0057,1.0,1.0,0.0069,0.0069,0.0,0.0,0.6972,0.6973,0.0,0.0,0.0616,0.0045,0.402,0.0267,True,True,False,False
dataset3,SVM_rbf,"{""svc__C"": 100, ""svc__class_weight"": null, ""svc__gamma"": ""auto""}",0.9885,0.0145,0.9885,0.0146,1.0,1.0,0.9143,0.0203,0.9137,0.0206,0.8851,0.8832,0.0742,0.0748,0.1149,0.1168,8.1128,8.1839,12.987,13.2259,0.0035,0.0016,0.0127,0.013,True,True,True,True
dataset4,NeuralNet,"{""mlpclassifier__alpha"": 0.01, ""mlpclassifier__early_stopping"": true, ""mlpclassifier__hidden_layer_sizes"": [200], ""mlpclassifier__learning_rate_init"": 0.01, ""mlpclassifier__max_iter"": 300}",0.8191,0.004,0.6852,0.0091,0.8143,0.6728,0.8138,0.0042,0.6762,0.0093,0.8097,0.6762,0.0053,0.0091,0.0047,-0.0034,0.6554,1.3406,0.5764,-0.5019,0.9701,0.004,45.745,0.0069,True,True,True,False
dataset4,RandomForest,"{""randomforestclassifier__class_weight"": ""balanced"", ""randomforestclassifier__max_depth"": 10, ""randomforestclassifier__max_features"": ""log2"", ""randomforestclassifier__min_samples_split"": 2, ""randomforestclassifier__n_estimators"": 300}",0.789,0.0039,0.7033,0.0066,0.7883,0.7017,0.8162,0.0029,0.6804,0.0049,0.8117,0.6714,-0.0272,0.0229,-0.0233,0.0302,-3.3325,3.3671,-2.8747,4.5053,7.5093,0.0931,16.2711,0.2256,False,True,False,True
dataset4,SVM_rbf,"{""svc__C"": 1, ""svc__class_weight"": ""balanced"", ""svc__gamma"": ""auto""}",0.7767,0.003,0.6936,0.0035,0.7763,0.6894,0.8189,0.0039,0.6699,0.005,0.816,0.6691,-0.0422,0.0236,-0.0397,0.0204,-5.1573,3.5274,-4.8611,3.0424,15.5663,3.6804,73.5932,14.1776,False,True,False,True
